Prec,rSoil,rRoot,tAtm,hCritA,rB,hB,ht,tTop,tBot,Ampl
0.22,0.02,0.04,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.02,0.04,1.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.02,0.04,2.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.02,0.04,3.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.02,0.04,4.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.02,0.04,5.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.02,0.04,6.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.02,0.04,7.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.02,0.04,8.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.02,0.04,9.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.02,0.04,10.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.02,0.04,11.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.02,0.04,12.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,13.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,14.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,15.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,16.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,17.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,18.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,19.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,20.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,21.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,22.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,23.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,24.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,25.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,26.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,27.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,28.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,29.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.1,30.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.03,0.05,31.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.03,0.05,32.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.03,0.05,33.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.03,0.05,34.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.03,0.05,35.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.03,0.05,36.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.03,0.05,37.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.03,0.05,38.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.03,0.05,39.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.03,0.05,40.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.03,0.05,41.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.03,0.05,42.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.03,0.05,43.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.03,0.05,44.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.03,0.05,45.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
