Node,Depth,Head,Moisture,K,C,Flux,Sink,Kappa,v/KsTop,Temp
1,0.0,-49.867,0.3031,0.269,0.00181,-0.3,0.0,-1.0,-0.012,20.0
2,-10.0,-51.228,0.3008,0.2538,0.001768,-0.2922,0.0,-1.0,-0.0117,20.0
3,-20.0,-53.016,0.2978,0.2338,0.001712,-0.2798,0.0,-1.0,-0.0112,20.0
4,-30.0,-55.354,0.2939,0.2077,0.001639,-0.2606,0.0,-1.0,-0.0104,20.0
5,-40.0,-58.4,0.2888,0.1737,0.001544,-0.2313,0.0,-1.0,-0.00927,20.0
6,-50.0,-61.711,0.2839,0.1476,0.001456,-0.1949,0.0,-1.0,-0.00781,20.0
7,-60.0,-64.135,0.2807,0.1357,0.001402,-0.1559,0.0,-1.0,-0.00625,20.0
8,-70.0,-64.151,0.2807,0.1356,0.001402,-0.118,0.0,-1.0,-0.00473,20.0
9,-80.0,-61.159,0.2846,0.1502,0.001468,-0.08742,0.0,-1.0,-0.0035,20.0
10,-90.0,-55.335,0.2939,0.2077,0.001639,-0.06442,0.0,-1.0,-0.00258,20.0
11,-100.0,-47.484,0.3071,0.2959,0.001885,-0.04777,0.0,-1.0,-0.00191,20.0
12,-110.0,-38.508,0.3258,0.5133,0.002253,-0.03637,0.0,-1.0,-0.00146,20.0
13,-120.0,-28.922,0.3494,0.9998,0.002708,-0.02599,0.0,-1.0,-0.00104,20.0
14,-130.0,-19.05,0.3784,2.215,0.00315,-0.01538,0.0,-1.0,-0.000616,20.0
15,-140.0,-9.075,0.4102,5.972,0.003043,-0.005045,0.0,-1.0,-0.000202,20.0
16,-150.0,0.925,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
17,-160.0,10.925,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
18,-170.0,20.925,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
19,-180.0,30.925,0.43,24.96,0.0,2.975e-06,0.0,-1.0,1.19e-07,20.0
20,-190.0,40.925,0.43,24.96,0.0,2.975e-06,0.0,-1.0,1.19e-07,20.0
21,-200.0,50.925,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
22,-210.0,60.925,0.43,24.96,0.0,4.463e-06,0.0,-1.0,1.79e-07,20.0
23,-220.0,70.925,0.43,24.96,0.0,4.463e-06,0.0,-1.0,1.79e-07,20.0
24,-230.0,80.925,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
25,-240.0,90.925,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
26,-250.0,100.925,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
27,-260.0,110.925,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
28,-270.0,120.925,0.43,24.96,0.0,8.926e-06,0.0,-1.0,3.58e-07,20.0
29,-280.0,130.925,0.43,24.96,0.0,8.926e-06,0.0,-1.0,3.58e-07,20.0
30,-290.0,140.925,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
31,-300.0,150.925,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
end,,,,,,,,,,
