Node,Depth,Head,Moisture,K,C,Flux,Sink,Kappa,v/KsTop,Temp
1,0.0,-0.034,0.43,21.87,0.0004538,-0.4985,0.0,-1.0,-0.02,20.0
2,-10.0,9.966,0.43,24.96,0.0,1.396e-06,0.0,-1.0,5.59e-08,20.0
3,-20.0,19.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
4,-30.0,29.966,0.43,24.96,0.0,2.975e-06,0.0,-1.0,1.19e-07,20.0
5,-40.0,39.966,0.43,24.96,0.0,2.975e-06,0.0,-1.0,1.19e-07,20.0
6,-50.0,49.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
7,-60.0,59.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
8,-70.0,69.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
9,-80.0,79.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
10,-90.0,89.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
11,-100.0,99.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
12,-110.0,109.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
13,-120.0,119.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
14,-130.0,129.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
15,-140.0,139.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
16,-150.0,149.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
17,-160.0,159.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
18,-170.0,169.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
19,-180.0,179.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
20,-190.0,189.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
21,-200.0,199.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
22,-210.0,209.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
23,-220.0,219.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
24,-230.0,229.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
25,-240.0,239.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
26,-250.0,249.966,0.43,24.96,0.0,1.934e-05,0.0,-1.0,7.75e-07,20.0
27,-260.0,259.966,0.43,24.96,0.0,1.934e-05,0.0,-1.0,7.75e-07,20.0
28,-270.0,269.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
29,-280.0,279.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
30,-290.0,289.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
31,-300.0,299.966,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
end,,,,,,,,,,
