Time_d,h_bottom_cm
0.0,150.0
1.0,150.0
2.0,150.0
3.0,150.0
4.0,150.0
5.0,150.001
6.0,150.002
7.0,150.005
8.0,150.01
9.0,150.019
10.0,150.035
11.0,150.06
12.0,150.1
13.0,150.16
14.0,150.24
15.0,150.345
16.0,150.479
17.0,150.645
18.0,150.848
19.0,151.089
20.0,151.359
21.0,151.668
22.0,152.022
23.0,152.429
24.0,152.912
25.0,153.474
26.0,154.118
27.0,154.838
28.0,155.608
29.0,156.412
30.0,157.233
31.0,158.065
32.0,158.917
33.0,159.811
34.0,160.785
35.0,161.776
36.0,162.82
37.0,163.944
38.0,165.137
39.0,166.359
40.0,167.584
41.0,168.807
42.0,170.033
43.0,171.226
44.0,172.313
45.0,173.377
46.0,174.439
47.0,175.533
48.0,176.672
49.0,177.873
50.0,179.176
51.0,180.598
52.0,181.999
53.0,183.353
54.0,184.663
55.0,185.899
56.0,187.032
57.0,188.107
58.0,189.179
59.0,190.298
60.0,191.428
61.0,192.57
62.0,193.855
63.0,195.251
64.0,196.708
65.0,198.17
66.0,199.641
67.0,201.056
68.0,202.261
69.0,203.332
70.0,204.306
71.0,205.238
72.0,206.249
73.0,207.357
74.0,208.586
75.0,209.997
76.0,211.568
77.0,213.138
78.0,214.691
79.0,216.137
80.0,217.417
81.0,218.645
82.0,219.836
83.0,220.876
84.0,221.725
85.0,222.536
86.0,223.502
87.0,224.72
88.0,226.191
89.0,227.86
90.0,229.803
91.0,232.173
92.0,234.038
93.0,235.294
94.0,236.123
95.0,236.692
96.0,237.2
97.0,237.799
98.0,238.644
99.0,239.885
100.0,241.869
101.0,244.558
102.0,246.787
103.0,248.733
104.0,250.524
105.0,252.009
106.0,253.127
107.0,254.008
108.0,254.79
109.0,255.571
110.0,257.474
111.0,259.354
112.0,260.915
113.0,262.696
114.0,264.768
115.0,267.099
116.0,269.753
117.0,272.779
118.0,275.661
119.0,278.358
120.0,285.741
