Time_d,z_wt_cm,depth_wt_cm
0.0,-150.0,150.0
1.0,-150.0,150.0
2.0,-150.0,150.0
3.0,-150.0,150.0
4.0,-150.0,150.0
5.0,-150.0,150.0
6.0,-150.0,150.0
7.0,-150.0,150.0
8.0,-150.0,150.0
9.0,-150.0,150.0
10.0,-150.0,150.0
11.0,-150.0,150.0
12.0,-150.0,150.0
13.0,-150.0,150.0
14.0,-150.0,150.0
15.0,-150.0,150.0
16.0,-149.999,149.999
17.0,-149.997,149.997
18.0,-149.993,149.993
19.0,-149.986,149.986
20.0,-149.974,149.974
21.0,-149.954,149.954
22.0,-149.924,149.924
23.0,-149.88,149.88
24.0,-149.819,149.819
25.0,-149.738,149.738
26.0,-149.631,149.631
27.0,-149.494,149.494
28.0,-149.322,149.322
29.0,-149.108,149.108
30.0,-148.851,148.851
31.0,-148.551,148.551
32.0,-148.207,148.207
33.0,-147.818,147.818
34.0,-147.38,147.38
35.0,-146.88,146.88
36.0,-146.333,146.333
37.0,-145.735,145.735
38.0,-145.083,145.083
39.0,-144.386,144.386
40.0,-143.648,143.648
41.0,-142.871,142.871
42.0,-142.047,142.047
43.0,-141.172,141.172
44.0,-140.236,140.236
45.0,-139.225,139.225
46.0,-138.224,138.224
47.0,-137.226,137.226
48.0,-136.222,136.222
49.0,-135.234,135.234
50.0,-134.286,134.286
51.0,-133.4,133.4
52.0,-132.583,132.583
53.0,-131.839,131.839
54.0,-131.16,131.16
55.0,-130.55,130.55
56.0,-130.003,130.003
57.0,-129.525,129.525
58.0,-129.121,129.121
59.0,-128.782,128.782
60.0,-128.502,128.502
61.0,-128.272,128.272
62.0,-128.084,128.084
63.0,-127.93299999999999,127.93299999999999
64.0,-127.815,127.815
65.0,-127.727,127.727
66.0,-127.666,127.666
67.0,-127.629,127.629
68.0,-127.614,127.614
69.0,-127.619,127.619
70.0,-127.643,127.643
71.0,-127.682,127.682
72.0,-127.736,127.736
73.0,-127.803,127.803
74.0,-127.881,127.881
75.0,-127.97,127.97
