Time_d,wl_z80cm,wl_z150cm,wl_z220cm
0.0,-150.0,-150.0,-150.0
1.0,-150.0,-150.0,-150.0
2.0,-150.0,-150.0,-150.0
3.0,-149.999,-150.0,-150.0
4.0,-149.998,-150.0,-150.0
5.0,-149.994,-150.0,-150.0
6.0,-149.985,-150.0,-150.0
7.0,-149.969,-149.999,-149.999
8.0,-149.94299999999998,-149.998,-149.998
9.0,-149.905,-149.996,-149.99599999999998
10.0,-149.852,-149.993,-149.993
11.0,-149.78300000000002,-149.988,-149.988
12.0,-149.691,-149.98,-149.98000000000002
13.0,-149.577,-149.969,-149.969
14.0,-149.447,-149.954,-149.954
15.0,-149.297,-149.934,-149.934
16.0,-149.125,-149.909,-149.909
17.0,-148.925,-149.877,-149.877
18.0,-148.688,-149.837,-149.837
19.0,-148.425,-149.79,-149.79000000000002
20.0,-148.137,-149.733,-149.733
21.0,-147.834,-149.665,-149.66500000000002
22.0,-147.52800000000002,-149.585,-149.58499999999998
23.0,-147.231,-149.492,-149.49200000000002
24.0,-146.91899999999998,-149.386,-149.386
25.0,-146.59,-149.269,-149.269
26.0,-146.237,-149.139,-149.139
27.0,-145.863,-148.995,-148.995
28.0,-145.476,-148.838,-148.838
29.0,-145.08499999999998,-148.668,-148.668
30.0,-144.697,-148.483,-148.483
