Time,rTop,rRoot,vTop,vRoot,vBot,sum(rTop),sum(rRoot),sum(vTop),sum(vRoot),sum(vBot),hTop,hRoot,hBot,RunOff,Volume
1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,150.0,0.0,107.43
2.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,150.0,0.0,107.43
3.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,150.0,0.0,107.43
4.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,150.0,0.0,107.43
5.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,150.0,0.0,107.43
6.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,150.0,0.0,107.43
7.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,150.0,0.0,107.43
8.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,150.0,0.0,107.43
9.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,150.0,0.0,107.43
10.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,150.0,0.0,107.43
11.0,-0.17,0.0,-0.17,0.0,0.0,-0.17,0.0,-0.17,0.0,0.0,-107.92,0.0,150.0,0.0,107.6
12.0,-0.17,0.0,-0.17,0.0,0.0,-0.34,0.0,-0.34,0.0,0.0,-92.207,0.0,150.0,0.0,107.77
13.0,-0.17,0.0,-0.17,0.0,0.0,-0.51,0.0,-0.51,0.0,0.0,-85.369,0.0,150.0,0.0,107.94
14.0,-0.17,0.0,-0.17,0.0,0.0,-0.68,0.0,-0.68,0.0,0.0,-80.191,0.0,150.0,0.0,108.11
15.0,-0.17,0.0,-0.17,0.0,0.0,-0.85,0.0,-0.85,0.0,0.0,-76.527,0.0,150.0,0.0,108.28
