Time_d,h_z80cm,h_z150cm,h_z220cm
0.0,-70.0,0.0,70.0
1.0,-70.0,0.0,70.0
2.0,-70.0,0.0,70.0
3.0,-70.0,0.0,70.0
4.0,-70.0,0.0,70.0
5.0,-70.0,0.0,70.0
6.0,-70.0,-0.0,70.0
7.0,-70.0,0.0,70.0
8.0,-70.0,0.0,70.0
9.0,-70.0,0.0,70.0
10.0,-70.0,0.0,70.0
11.0,-70.0,0.0,70.0
12.0,-70.0,0.0,70.0
13.0,-69.999,0.0,70.0
14.0,-69.996,0.0,70.0
15.0,-69.986,0.0,70.0
16.0,-69.964,0.001,70.001
17.0,-69.922,0.002,70.002
18.0,-69.851,0.005,70.005
19.0,-69.741,0.011,70.011
20.0,-69.584,0.02,70.02
21.0,-69.374,0.036,70.036
22.0,-69.102,0.059,70.059
23.0,-68.762,0.093,70.093
24.0,-68.345,0.14,70.14
25.0,-67.853,0.203,70.203
26.0,-67.316,0.285,70.285
27.0,-66.711,0.39,70.39
28.0,-66.041,0.521,70.521
29.0,-65.32,0.682,70.682
30.0,-64.568,0.879,70.879
31.0,-63.786,1.111,71.111
32.0,-62.977,1.378,71.378
33.0,-62.155,1.679,71.679
34.0,-61.33,2.017,72.017
35.0,-60.513,2.39,72.39
36.0,-59.744,2.81,72.81
37.0,-59.024,3.273,73.273
38.0,-58.301,3.773,73.773
39.0,-57.594,4.315,74.315
40.0,-56.906,4.898,74.898
41.0,-56.237,5.516,75.516
42.0,-55.587,6.17,76.17
43.0,-54.949,6.851,76.851
44.0,-54.315,7.562,77.562
45.0,-53.682,8.311,78.311
46.0,-53.095,9.102,79.102
47.0,-52.562,9.94,79.94
48.0,-52.11,10.817,80.817
49.0,-51.768,11.66,81.66
50.0,-51.537,12.459,82.459
51.0,-51.392,13.224,83.224
52.0,-51.309,13.925,83.925
53.0,-51.269,14.57,84.57
54.0,-51.255,15.143,85.143
55.0,-51.261,15.654,85.654
56.0,-51.279,16.098,86.098
57.0,-51.308,16.48,86.48
58.0,-51.343,16.804,86.804
59.0,-51.391,17.076,87.076
60.0,-51.459,17.306,87.306
61.0,-51.534,17.491,87.491
62.0,-51.616,17.636,87.636
63.0,-51.705,17.748,87.748
64.0,-51.801,17.829,87.829
65.0,-51.905,17.881,87.881
66.0,-52.018,17.909,87.909
67.0,-52.14,17.915,87.915
68.0,-52.271,17.901,87.901
69.0,-52.411,17.868,87.868
70.0,-52.558,17.819,87.819
71.0,-52.713,17.755,87.755
72.0,-52.876,17.678,87.678
73.0,-53.046,17.59,87.59
74.0,-53.228,17.49,87.49
75.0,-53.42,17.379,87.379
