time_d,prec_forced,infiltration,et_actual,non_infiltrated,ponding_inst,runoff_hydrus,runoff_to_sw,cum_non_infiltrated,cum_ponding_inst,cum_runoff_hydrus,cum_runoff_to_sw,delayed_infiltration
1.0,0.0,9.2412e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.00024643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.00034554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.00034554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.00034554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,0.789999,0.779999,0.76,0.76,0.0
7.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,1.579998,1.559998,1.52,1.52,0.0
8.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,2.369997,2.339997,2.2800000000000002,2.2800000000000002,0.0
9.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,3.159996,3.119996,3.04,3.04,0.0
10.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,3.949995,3.899995,3.8,3.8,0.0
11.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,4.739994,4.679994,4.56,4.56,0.0
12.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,5.529993,5.459993,5.319999999999999,5.319999999999999,0.0
13.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,6.319992,6.239992,6.079999999999999,6.079999999999999,0.0
14.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,7.109991,7.019991,6.839999999999999,6.839999999999999,0.0
15.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,7.89999,7.79999,7.599999999999999,7.599999999999999,0.0
16.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,8.689989,8.579989,8.36,8.36,0.0
17.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,9.479988,9.359988,9.12,9.12,0.0
18.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,10.269987,10.139987,9.879999999999999,9.879999999999999,0.0
19.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,11.059986,10.919986,10.639999999999999,10.639999999999999,0.0
20.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,11.849985,11.699985,11.399999999999999,11.399999999999999,0.0
21.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,12.639984,12.479984,12.159999999999998,12.159999999999998,0.0
22.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,13.429983,13.259983,12.919999999999998,12.919999999999998,0.0
23.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,14.219982,14.039982,13.679999999999998,13.679999999999998,0.0
24.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,15.009981,14.819981,14.439999999999998,14.439999999999998,0.0
25.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,15.79998,15.59998,15.199999999999998,15.199999999999998,0.0
26.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,16.589979,16.379979,15.959999999999997,15.959999999999997,0.0
27.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,17.379978,17.159978,16.72,16.72,0.0
28.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,18.169977000000003,17.939977,17.48,17.48,0.0
29.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,18.959976000000005,18.719976,18.240000000000002,18.240000000000002,0.0
30.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,19.749975000000006,19.499975,19.000000000000004,19.000000000000004,0.0
31.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,20.539974000000008,20.279974,19.760000000000005,19.760000000000005,0.0
32.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,21.32997300000001,21.059973,20.520000000000007,20.520000000000007,0.0
33.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,22.11997200000001,21.839972,21.28000000000001,21.28000000000001,0.0
34.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,22.909971000000013,22.619971,22.04000000000001,22.04000000000001,0.0
35.0,0.8,0.010001,0.01,0.789999,0.779999,0.76,0.76,23.699970000000015,23.39997,22.80000000000001,22.80000000000001,0.0
36.0,0.0,0.020001,0.02,0.0,0.0,0.0,0.0,23.699970000000015,23.39997,22.80000000000001,22.80000000000001,0.020001
