Time,rTop,rRoot,vTop,vRoot,vBot,sum(rTop),sum(rRoot),sum(vTop),sum(vRoot),sum(vBot),hTop,hRoot,hBot,RunOff,Volume
1.0,-0.3,0.0,-0.3,0.0,0.0,-0.3,0.0,-0.3,0.0,0.0,-88.793,0.0,150.0,0.0,107.73
2.0,-0.3,0.0,-0.3,0.0,0.0,-0.6,0.0,-0.6,0.0,0.0,-73.222,0.0,150.0,0.0,108.03
3.0,-0.3,0.0,-0.3,0.0,0.0,-0.9,0.0,-0.9,0.0,0.0,-66.853,0.0,150.0,0.0,108.33
4.0,-0.3,0.0,-0.3,0.0,0.0,-1.2,0.0,-1.2,0.0,0.0,-62.042,0.0,150.0,0.0,108.63
5.0,-0.3,0.0,-0.3,0.0,0.0,-1.5,0.0,-1.5,0.0,0.0,-59.128,0.0,150.0,0.0,108.93
6.0,-0.3,0.0,-0.3,0.0,0.0,-1.8,0.0,-1.8,0.0,0.0,-57.284,0.0,150.0,0.0,109.23
7.0,-0.3,0.0,-0.3,0.0,0.0,-2.1,0.0,-2.1,0.0,0.0,-55.556,0.0,150.01,0.0,109.53
8.0,-0.3,0.0,-0.3,0.0,0.0,-2.4,0.0,-2.4,0.0,0.0,-54.173,0.0,150.02,0.0,109.83
9.0,-0.3,0.0,-0.3,0.0,0.0,-2.7,0.0,-2.7,0.0,0.0,-53.244,0.0,150.04,0.0,110.13
10.0,-0.3,0.0,-0.3,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,-52.435,0.0,150.08,0.0,110.43
11.0,-0.3,0.0,-0.3,0.0,0.0,-3.3,0.0,-3.3,0.0,0.0,-51.739,0.0,150.14,0.0,110.73
12.0,-0.3,0.0,-0.3,0.0,0.0,-3.6,0.0,-3.6,0.0,0.0,-51.168,0.0,150.24,0.0,111.03
13.0,-0.3,0.0,-0.3,0.0,0.0,-3.9,0.0,-3.9,0.0,0.0,-50.667,0.0,150.39,0.0,111.33
14.0,-0.3,0.0,-0.3,0.0,0.0,-4.2,0.0,-4.2,0.0,0.0,-50.24,0.0,150.61,0.0,111.63
15.0,-0.3,0.0,-0.3,0.0,0.0,-4.5,0.0,-4.5,0.0,0.0,-49.867,0.0,150.93,0.0,111.93
,,,,,,,,,,,,,,,
