time,h,theta,Temp
0.01,-500.0,0.1251,20.0
0.02,-500.0,0.1251,20.0
0.033,-500.0,0.1251,20.0
0.0499,-500.0,0.1251,20.0
0.0719,-500.0,0.1251,20.0
0.1004,-500.0,0.1251,20.0
0.1376,-500.0,0.1251,20.0
0.1858,-500.0,0.1251,20.0
0.2486,-500.0,0.1251,20.0
0.3321,-500.0,0.1251,20.0
0.4434,-500.0,0.1251,20.0
0.5825,-500.0,0.1251,20.0
0.7913,-500.01,0.1251,20.0
1.0,-500.02,0.1251,20.0
1.01,-500.02,0.1251,20.0
1.023,-500.02,0.1251,20.0
1.0399,-500.02,0.1251,20.0
1.0619,-500.02,0.1251,20.0
1.0904,-500.02,0.1251,20.0
1.1276,-500.03,0.1251,20.0
1.1758,-500.03,0.1251,20.0
1.2386,-500.03,0.1251,20.0
1.3232,-500.04,0.1251,20.0
1.436,-500.05,0.1251,20.0
1.577,-500.05,0.1251,20.0
1.7885,-500.05,0.1251,20.0
2.0,-500.01,0.1251,20.0
2.25,-499.92,0.1251,20.0
2.625,-499.6,0.1251,20.0
3.0,-499.1,0.1252,20.0
3.3333,-498.51,0.1252,20.0
4.0,-496.94,0.1254,20.0
4.5,-495.67,0.1255,20.0
5.0,-494.35,0.1257,20.0
6.0,-491.98,0.126,20.0
7.0,-490.08,0.1262,20.0
8.0,-488.78,0.1263,20.0
9.0,-488.11,0.1264,20.0
10.0,-487.95,0.1264,20.0
11.0,-488.49,0.1263,20.0
12.0,-489.77,0.1262,20.0
13.0,-491.62,0.126,20.0
14.0,-493.93,0.1257,20.0
15.0,-496.55,0.1255,20.0
16.0,-499.39,0.1251,20.0
17.0,-502.38,0.1248,20.0
18.0,-505.47,0.1245,20.0
18.01,-505.5,0.1245,20.0
18.02,-505.53,0.1245,20.0
18.03,-505.57,0.1245,20.0
18.043,-505.61,0.1245,20.0
18.0599,-505.66,0.1245,20.0
18.0819,-505.73,0.1244,20.0
18.1104,-505.81,0.1244,20.0
18.1476,-505.93,0.1244,20.0
18.1958,-506.08,0.1244,20.0
18.2586,-506.28,0.1244,20.0
18.341,-506.53,0.1244,20.0
18.4233,-506.79,0.1243,20.0
18.5387,-507.16,0.1243,20.0
18.654,-507.52,0.1243,20.0
18.7693,-507.89,0.1242,20.0
18.8847,-508.25,0.1242,20.0
19.0,-508.62,0.1241,20.0
19.1667,-509.16,0.1241,20.0
19.3333,-509.69,0.124,20.0
19.5556,-510.41,0.1239,20.0
20.0,-511.86,0.1238,20.0
20.3333,-512.94,0.1237,20.0
21.0,-515.04,0.1234,20.0
21.01,-515.07,0.1234,20.0
21.023,-515.12,0.1234,20.0
21.0399,-515.17,0.1234,20.0
21.0619,-515.24,0.1234,20.0
21.0904,-515.33,0.1234,20.0
21.1276,-515.45,0.1234,20.0
21.1758,-515.6,0.1234,20.0
21.2386,-515.79,0.1233,20.0
21.3232,-516.06,0.1233,20.0
21.436,-516.41,0.1233,20.0
21.577,-516.84,0.1232,20.0
21.7885,-517.48,0.1232,20.0
22.0,-518.11,0.1231,20.0
22.01,-518.14,0.1231,20.0
22.02,-518.17,0.1231,20.0
22.03,-518.2,0.1231,20.0
22.04,-518.23,0.1231,20.0
